epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.552,0.78161,4.08207,0.00527,0.90203,0.83964,0.94275,0.79572,0.66192,2.37373,0.00623,0.000665891,0.000665891,0.000665891
2,483.295,0.80307,1.20806,0.00556,0.94931,0.90659,0.97796,0.80787,0.69312,0.77912,0.0068,0.00128858,0.00128858,0.00128858
3,712.22,0.83834,0.64331,0.00572,0.93617,0.88752,0.97095,0.80226,0.73223,0.56954,0.00696,0.00186728,0.00186728,0.00186728
4,940.132,0.80807,0.5205,0.00568,0.92538,0.93801,0.97889,0.8136,0.69546,0.40816,0.00656,0.001802,0.001802,0.001802
5,1167.72,0.77398,0.44949,0.00541,0.95116,0.91335,0.98149,0.82379,0.65509,0.36489,0.00598,0.001736,0.001736,0.001736
6,1393.89,0.75655,0.39352,0.00517,0.9627,0.9289,0.98836,0.80851,0.76271,0.32834,0.00706,0.00167,0.00167,0.00167
7,1619.29,0.75409,0.38689,0.00517,0.95495,0.96369,0.98993,0.84481,0.63488,0.2697,0.0061,0.001604,0.001604,0.001604
8,1846.12,0.72505,0.3628,0.00506,0.95456,0.95915,0.99103,0.8591,0.5518,0.24537,0.00488,0.001538,0.001538,0.001538
9,2073.54,0.71354,0.35534,0.00497,0.96592,0.94331,0.98851,0.85809,0.54969,0.25804,0.00531,0.001472,0.001472,0.001472
10,2299.62,0.70551,0.33809,0.00477,0.97174,0.96369,0.9913,0.86747,0.54369,0.25564,0.0051,0.001406,0.001406,0.001406
11,2527.37,0.68537,0.31095,0.00475,0.96472,0.9516,0.99026,0.86942,0.55107,0.24591,0.00538,0.00134,0.00134,0.00134
12,2786.45,0.65984,0.29969,0.00455,0.96193,0.9531,0.9899,0.86577,0.55328,0.23535,0.00533,0.001274,0.001274,0.001274
13,3023.82,0.67705,0.3024,0.00453,0.96568,0.96369,0.99111,0.85996,0.57957,0.23849,0.00523,0.001208,0.001208,0.001208
14,3250.51,0.66401,0.29183,0.00446,0.95147,0.97875,0.99087,0.86637,0.55391,0.22032,0.00525,0.001142,0.001142,0.001142
15,3479.84,0.62956,0.2717,0.0043,0.96525,0.95159,0.99068,0.87741,0.52332,0.21934,0.00505,0.001076,0.001076,0.001076
16,3708.41,0.63147,0.28424,0.00435,0.97481,0.95915,0.99183,0.87492,0.51606,0.22232,0.00496,0.00101,0.00101,0.00101
17,3935.53,0.62276,0.27569,0.00417,0.97679,0.96823,0.99306,0.88681,0.49995,0.19816,0.00466,0.000944,0.000944,0.000944
18,4161.9,0.61415,0.26312,0.00408,0.98004,0.96584,0.99269,0.8821,0.51303,0.19799,0.00477,0.000878,0.000878,0.000878
19,4389.1,0.60249,0.25914,0.00406,0.97118,0.96872,0.99232,0.88053,0.50987,0.20278,0.00458,0.000812,0.000812,0.000812
20,4674.84,0.60235,0.25839,0.00403,0.96922,0.97882,0.99343,0.89607,0.47153,0.17622,0.00417,0.000746,0.000746,0.000746
21,4936.23,0.51664,0.20842,0.00432,0.95815,0.96986,0.99151,0.88958,0.4833,0.20867,0.00442,0.00068,0.00068,0.00068
22,5154.87,0.51835,0.1978,0.0043,0.96409,0.97474,0.99288,0.88543,0.49342,0.19206,0.00445,0.000614,0.000614,0.000614
23,5373.05,0.50768,0.19541,0.00407,0.96298,0.96974,0.99204,0.88542,0.48702,0.20253,0.00429,0.000548,0.000548,0.000548
24,5590.77,0.48561,0.18371,0.00384,0.96615,0.97882,0.99303,0.89287,0.47771,0.18039,0.00421,0.000482,0.000482,0.000482
25,5805.78,0.47769,0.18309,0.00392,0.97588,0.97923,0.99354,0.89229,0.46552,0.16966,0.00407,0.000416,0.000416,0.000416
26,6020.4,0.46822,0.17565,0.00378,0.96873,0.98419,0.99352,0.89318,0.46892,0.17128,0.00412,0.00035,0.00035,0.00035
27,6241.25,0.46087,0.16788,0.00365,0.98026,0.97648,0.99372,0.89762,0.46544,0.16825,0.00401,0.000284,0.000284,0.000284
28,6546.07,0.45811,0.1696,0.00359,0.97291,0.98033,0.99365,0.89893,0.45718,0.16596,0.004,0.000218,0.000218,0.000218
29,6830.7,0.44608,0.16458,0.00345,0.97754,0.96672,0.99288,0.89895,0.45023,0.17497,0.00395,0.000152,0.000152,0.000152
30,7095.86,0.44529,0.16517,0.0035,0.96516,0.98033,0.993,0.90114,0.44158,0.16981,0.00384,8.6e-05,8.6e-05,8.6e-05
